景點名稱,類型,縣市,費用,年齡層,Google地圖連結,參考資料
ATT 4 FUN,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北市信義區松壽路12號,https://www.att4fun.com.tw/
BELLAVITA 寶麗廣場,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北市信義區松仁路28號,https://www.bellavita.com.tw/
Xpark,水族館,桃園,門票,都適合,https://goo.gl/maps/2y5vR3sX4tP2,https://www.xpark.com.tw/
三義木雕博物館,博物館,苗栗,門票,都適合,https://www.google.com/maps/search/%E4%B8%89%E7%BE%A9%E6%9C%A8%E9%9B%95%E5%8D%9A%E7%89%A9%E9%A4%A8,https://wood.mlc.gov.tw/
九份老街,歷史文化,新北,內部消費,都適合,https://maps.app.goo.gl/kRJdPcy8FhU8ZTGk7,https://newtaipei.travel/
十八尖山,自然景觀步道,新竹,免費,都適合,https://goo.gl/maps/18Pk,https://tourism.hccg.gov.tw/
南庄老街,歷史文化,苗栗,內部消費,都適合,https://goo.gl/maps/5z2jZ6xY4rP2,https://www.nanjhuang.gov.tw/
南雅奇岩,自然景觀步道,新北,免費,都適合,https://www.google.com/maps/d/viewer?mid=1cijh1kj6Bl-FU81H8x97Dm_va4gqr6aC&ll=25.12028710288497%2C121.88855465000006&z=17,
卡滋爆米花觀光工廠樂園,觀光工廠,新北,門票,小孩,https://goo.gl/maps/PopsSmile,https://www.pops-smile.com/
台北101購物中心,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北101購物中心,https://www.taipei-101.com.tw/
台北市立動物園,動物園,台北,門票,小孩,https://www.google.com/maps/search/?api=1&query=台北市立動物園,https://www.zoo.gov.taipei/
味衛佳柿餅教育農園,觀光工廠,新竹,免費,都適合,https://goo.gl/maps/Weiweijia,https://www.facebook.com/pro.persimmon/
和平島公園,自然景觀步道,基隆,門票,都適合,https://www.google.com/maps/d/edit?mid=1E7Ij9IFQOSTHJNEhy7hnP9pi-7koHUc&usp=sharing,https://www.hpipark.org/
國家鐵道博物館,博物館,台北,免費,都適合,https://goo.gl/maps/9z2jZ6xY4rP2,https://www.railway.gov.tw/
國立故宮博物院,博物館,台北,門票,都適合,https://www.google.com/maps/search/?api=1&query=國立故宮博物院,https://www.npm.gov.tw/
國立海洋科技博物館,博物館,基隆,門票,小孩,https://goo.gl/maps/NMMST,https://www.nmmst.gov.tw/
埔心牧場,觀光農場,桃園,門票,小孩,https://www.google.com/maps/search/?api=1&query=埔心牧場,https://www.pushin-ranch.com/
基隆廟口夜市,夜市,基隆,內部消費,都適合,https://maps.app.goo.gl/WQUx6ov2NzT4o73X8,https://www.travel.url.tw/miaokou/
報時山步道,自然景觀步道,新北,免費,都適合,https://www.google.com/maps/d/viewer?mid=1ZjIWxWbsaXZVOgCvklDX1Or095pI0aKP&ll=25.114471225576192%2C121.86219489999996&z=16,
士林夜市,夜市,台北,內部消費,都適合,https://maps.app.goo.gl/LQNG58qN1K43RTAJA,https://www.travel.taipei/zh-tw/attraction/details/46
大溪老街,歷史文化,桃園,內部消費,都適合,https://goo.gl/maps/8y5vR3sX4tP2,https://www.daxi.tycg.gov.tw/
姜子寮山步道,自然景觀步道,基隆,免費,都適合,https://goo.gl/maps/Jiangziliao,https://tour.klcg.gov.tw/
小叮噹科學主題樂園,遊樂場,新竹,門票,小孩,https://goo.gl/maps/wY2jZ6xY4rP2,https://www.ding-dong.com.tw/
小烏來天空步道,自然景觀步道,桃園,門票,都適合,https://goo.gl/maps/XiaoWulai,https://travel.tycg.gov.tw/
巧克力雲莊,觀光工廠,苗栗,門票,都適合,https://goo.gl/maps/9y5vR3sX4tP2,https://www.schokolake.com/
微風信義,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北市信義區忠孝東路五段68號,https://www.breeze.com.tw/
微風南山,大型購物商場,台北,內部消費,都適合,https://maps.app.goo.gl/9oDDotDAimvio7Sd7,https://www.breeze.com.tw/
微風松高,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北市信義區松高路16號,https://www.breeze.com.tw/
情人湖環山步道,自然景觀步道,基隆,免費,都適合,https://goo.gl/maps/KeelungLoversLake,https://www.klcg.gov.tw/
手信坊創意和菓子文化館,觀光工廠,新北,門票,都適合,https://goo.gl/maps/ShuShinBou,https://www.3ssf.com.tw/
手信霧隱城,觀光工廠,桃園,門票,都適合,https://goo.gl/maps/3y5vR3sX4tP2,https://www.sswyc.com/
新光三越信義新天地,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/%E6%96%B0%E5%85%89%E4%B8%89%E8%B6%8A%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%A4%A9%E5%9C%B0%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9D%BE%E5%A3%BD%E8%B7%AF9%E8%99%9F,https://www.skm.com.tw/
新北市立鶯歌陶瓷博物館,博物館,新北,門票,都適合,https://goo.gl/maps/YinggeCeramics,https://www.ceramics.ntpc.gov.tw/
新北市立黃金博物館,博物館,新北,門票,都適合,https://goo.gl/maps/GoldMuseum,https://www.gep.ntpc.gov.tw/
新竹城隍廟,歷史文化,新竹,內部消費,都適合,https://goo.gl/maps/6z2jZ6xY4rP2,https://www.hccg.gov.tw/
新竹市立玻璃工藝博物館,博物館,新竹,門票,都適合,https://goo.gl/maps/GlassMuseum,https://culture.hccg.gov.tw/
明曜百貨,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF%E5%9B%9B%E6%AE%B5200%E8%99%9F,http://www.mingyao.com.tw/
春池綠能玻璃觀光工廠,觀光工廠,新竹,門票,都適合,https://goo.gl/maps/SpringPool,https://www.springpoolglass.com/
東眼山國家森林遊樂區,自然景觀步道,桃園,門票,都適合,https://goo.gl/maps/Dongyanshan,https://recreation.forest.gov.tw/
板橋435藝文特區,大型公園,新北,免費,小孩,https://goo.gl/maps/435ArtZone,https://www.435.culture.ntpc.gov.tw/
橫山書法藝術館,博物館,桃園,門票,都適合,https://goo.gl/maps/HengshanCalligraphy,https://tmofa.tycg.gov.tw/
淡水漁人碼頭,歷史文化,新北,免費,都適合,https://www.google.com/maps/search/?api=1&query=Tamsui+Fisherman%27s+Wharf,https://www.tamsui.ntpc.gov.tw/
潮境公園,大型公園,基隆,免費,都適合,https://goo.gl/maps/vyAADrjdQpgUkMEL8,
火炎山步道,自然景觀步道,苗栗,免費,都適合,https://goo.gl/maps/Huoyanshan,https://recreation.forest.gov.tw/
統一時代百貨,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/?api=1&query=台北市忠孝東路五段8號,https://www.uni-ustyle.com.tw/
綠世界生態農場,觀光農場,新竹,門票,小孩,https://www.google.com/maps/search/?api=1&query=綠世界生態農場,https://www.green-world.com.tw/
美麗華百樂園,大型購物商場,台北,內部消費,都適合,https://goo.gl/maps/7y5vR3sX4tP2,https://www.miramar.com.tw/
臺灣客家文化館,博物館,苗栗,免費,都適合,https://goo.gl/maps/HakkaCulture,https://thcdc.hakka.gov.tw/
舊山線鐵道自行車,遊樂場,苗栗,門票,都適合,https://goo.gl/maps/RailBike,https://www.oml-railbike.com/
舊草嶺隧道,自然景觀步道,新北,免費,都適合,https://maps.app.goo.gl/razpZopazKx3BJ2h9,
遠東SOGO百貨復興館,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/%E8%87%BA%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF%E4%B8%89%E6%AE%B5300%E8%99%9F,https://www.sogo.com.tw/
遠東SOGO百貨忠孝館,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/%E5%8F%B0%E5%8C%97%E5%B8%82%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF%E5%9B%9B%E6%AE%B545%E8%99%9F,https://www.sogo.com.tw/
遠東SOGO百貨敦化館,大型購物商場,台北,內部消費,都適合,https://www.google.com/maps/search/%E8%87%BA%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E6%95%A6%E5%8C%96%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B5246%E8%99%9F,https://www.sogo.com.tw/
遠東百貨信義A13,大型購物商場,台北,內部消費,都適合,https://maps.app.goo.gl/Bn7yLwpUdadhBjNt9,https://www.feds.com.tw/store/A13
野柳地質公園,自然景觀步道,新北,門票,都適合,https://maps.app.goo.gl/JU1uARUF7gQibDsj7,https://www.ylgeopark.org.tw/
陰陽海,自然景觀步道,新北,免費,都適合,https://maps.app.goo.gl/oczVVmFit5mwWhRb8,
陽明山國家公園,自然景觀步道,台北,免費,,https://www.google.com/maps/search/?api=1&query=陽明山國家公園,https://www.ymsnp.gov.tw/
飛牛牧場,觀光農場,苗栗,門票,小孩,https://www.google.com/maps/search/?api=1&query=飛牛牧場,https://www.flyingcow.com.tw/
飛鳳山步道,自然景觀步道,新竹,免費,都適合,https://goo.gl/maps/Feifengshan,https://biji.co/
馬那邦山步道,自然景觀步道,苗栗,免費,都適合,https://goo.gl/maps/Manabang,https://biji.co/
鼻頭角步道,自然景觀步道,新北,免費,都適合,https://goo.gl/maps/54ibXiVP86XodNNM8,
